Size of array |  Time of one thread sort, ms | Time of parallel sort, ms
100 | 29 | 1917
200 | 60 | 878
300 | 114 | 1142
400 | 152 | 917
500 | 160 | 955
600 | 200 | 798
700 | 242 | 189
800 | 264 | 202
900 | 312 | 1008
1000 | 383 | 236
1100 | 386 | 237
1200 | 601 | 237
1300 | 479 | 997
1400 | 493 | 239
1500 | 543 | 246
1600 | 557 | 276
1700 | 618 | 270
1800 | 659 | 286
1900 | 701 | 275
2000 | 728 | 292
2100 | 765 | 324
2200 | 794 | 296
2300 | 893 | 333
2400 | 914 | 335
2500 | 897 | 1120
2600 | 987 | 408
2700 | 1012 | 1100
2800 | 1029 | 370
2900 | 1362 | 498
3000 | 1084 | 437
3100 | 1170 | 589
3200 | 1306 | 545
3300 | 1198 | 946
3400 | 1425 | 479
3500 | 1347 | 516
3600 | 1450 | 599
3700 | 1419 | 474
3800 | 1398 | 579
3900 | 1491 | 478
4000 | 1553 | 507
4100 | 1597 | 480
4200 | 1593 | 921
4300 | 1962 | 543
4400 | 1742 | 559
4500 | 1743 | 693
4600 | 1833 | 581
4700 | 1818 | 811
4800 | 1880 | 597
4900 | 1955 | 854
5000 | 2206 | 707
5100 | 1971 | 585
5200 | 2281 | 918
5300 | 2092 | 705
5400 | 2285 | 979
5500 | 2956 | 1027
5600 | 2275 | 685
5700 | 2481 | 812
5800 | 2718 | 968
5900 | 2366 | 874
6000 | 2516 | 825
6100 | 2457 | 658
6200 | 2562 | 746
6300 | 3399 | 1262
6400 | 2859 | 1147
6500 | 3316 | 913
6600 | 3330 | 1225
6700 | 2963 | 1073
6800 | 3013 | 738
6900 | 2711 | 815
7000 | 2822 | 774
7100 | 3348 | 768
7200 | 2913 | 794
7300 | 2956 | 792
7400 | 3038 | 1026
7500 | 3010 | 870
7600 | 3069 | 973
7700 | 3023 | 829
7800 | 3198 | 1089
7900 | 3311 | 1318
8000 | 3509 | 2177
8100 | 4187 | 2814
8200 | 4494 | 1187
8300 | 4486 | 1112
8400 | 3557 | 1029
8500 | 3472 | 978
8600 | 3527 | 1003
8700 | 3506 | 822
8800 | 3522 | 1132
8900 | 3655 | 983
9000 | 3735 | 938
9100 | 3877 | 1013
9200 | 4489 | 1384
9300 | 7966 | 1725
9400 | 4273 | 969
9500 | 3990 | 957
9600 | 4063 | 1021
9700 | 4109 | 985
9800 | 4305 | 1069
9900 | 4253 | 1094
10000 | 4075 | 1006
10100 | 4508 | 2026
10200 | 4144 | 1062
10300 | 4758 | 1146
10400 | 4332 | 1138
10500 | 4341 | 1153
10600 | 5508 | 1067
10700 | 4355 | 999
10800 | 4471 | 1095
10900 | 4517 | 977
11000 | 4594 | 1144
11100 | 4607 | 1009
11200 | 4786 | 1040
11300 | 4611 | 1123
11400 | 4944 | 1105
11500 | 4731 | 1077
11600 | 5195 | 1210
11700 | 4807 | 1178
11800 | 5017 | 1664
11900 | 6194 | 1260
12000 | 6287 | 1208
12100 | 5814 | 1325
12200 | 5615 | 1197
12300 | 5208 | 1711
12400 | 5759 | 4883
12500 | 8031 | 6981
12600 | 8021 | 2649
12700 | 6384 | 5326
12800 | 6731 | 3832
12900 | 6620 | 2376
13000 | 6452 | 1656
13100 | 6982 | 2649
13200 | 6735 | 1833
13300 | 7333 | 1501
